epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,722.592,1.37274,1.73426,1.14893,0.98989,0.99641,0.99448,0.71454,1.09618,0.42012,0.99338,5.96217e-05,5.96217e-05,5.96217e-05
2,1416.43,1.20493,0.65236,1.06825,0.99619,0.9994,0.995,0.7471,0.98905,0.37732,0.97813,0.000113384,0.000113384,0.000113384
3,2104.17,1.19387,0.59104,1.06665,0.99767,0.99952,0.995,0.78919,0.84439,0.3304,0.91653,0.000161238,0.000161238,0.000161238
4,2790.05,1.17346,0.55222,1.05526,0.9982,0.99979,0.99499,0.80854,0.79161,0.30995,0.90478,0.000152418,0.000152418,0.000152418
5,3476.05,1.13395,0.52388,1.03568,0.99825,0.99946,0.995,0.79056,0.87939,0.32014,0.92648,0.000143558,0.000143558,0.000143558
6,4160.97,1.08066,0.5006,1.01392,0.9984,0.99971,0.99499,0.79733,0.85878,0.30495,0.91954,0.000134697,0.000134697,0.000134697
7,4845.55,1.05004,0.4784,1.00053,0.99903,0.99998,0.995,0.79746,0.86532,0.29705,0.91244,0.000125837,0.000125837,0.000125837
8,5529.86,1.03925,0.46715,0.99677,0.99855,0.99979,0.995,0.82401,0.77891,0.28453,0.89378,0.000116976,0.000116976,0.000116976
9,6214.43,1.02875,0.45617,0.98899,0.99921,1,0.995,0.83909,0.73675,0.26924,0.87757,0.000108116,0.000108116,0.000108116
10,6898.83,1.01805,0.44643,0.98671,0.9989,1,0.995,0.84331,0.70344,0.26335,0.87213,9.92555e-05,9.92555e-05,9.92555e-05
11,7579.34,1.05454,0.36845,1.0581,0.99898,0.99988,0.995,0.8489,0.69674,0.26228,0.86961,9.0395e-05,9.0395e-05,9.0395e-05
12,8257.59,1.04582,0.36347,1.05083,0.99925,0.99993,0.995,0.83779,0.74298,0.2681,0.87815,8.15345e-05,8.15345e-05,8.15345e-05
13,8934.82,1.03757,0.35899,1.04736,0.99913,0.99968,0.99498,0.8398,0.73525,0.26414,0.87075,7.2674e-05,7.2674e-05,7.2674e-05
14,9613.5,1.02032,0.3531,1.03895,0.99924,1,0.995,0.83764,0.73176,0.26646,0.87231,6.38135e-05,6.38135e-05,6.38135e-05
15,10294.3,1.0239,0.34726,1.03991,0.99939,0.99991,0.995,0.81397,0.82112,0.27672,0.89276,5.4953e-05,5.4953e-05,5.4953e-05
16,10976.5,1.00107,0.33848,1.03082,0.99927,0.99987,0.995,0.82496,0.7778,0.26978,0.88208,4.60925e-05,4.60925e-05,4.60925e-05
17,11659.6,0.99524,0.33466,1.0273,0.99924,0.99983,0.995,0.82654,0.78225,0.26763,0.88176,3.7232e-05,3.7232e-05,3.7232e-05
18,12340.9,0.98545,0.32943,1.02238,0.99938,1,0.995,0.82753,0.78277,0.2691,0.88129,2.83715e-05,2.83715e-05,2.83715e-05
19,13019.4,0.97692,0.32249,1.01891,0.99935,0.99995,0.995,0.82029,0.80224,0.27026,0.88494,1.9511e-05,1.9511e-05,1.9511e-05
20,13697.7,0.96782,0.31792,1.0173,0.9993,1,0.995,0.81756,0.81354,0.26984,0.88838,1.06505e-05,1.06505e-05,1.06505e-05
