epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.414,1.56152,2.98952,1.47185,0.41197,0.33572,0.38362,0.18464,1.8404,2.08073,1.57663,0.00023654,0.00023654,0.00023654
2,442.908,1.43221,1.81725,1.3965,0.64479,0.38543,0.51995,0.27719,1.69635,1.77885,1.48288,0.00042756,0.00042756,0.00042756
3,651.291,1.37048,1.59917,1.35964,0.65026,0.41533,0.5414,0.30232,1.76526,1.59641,1.58662,0.000571457,0.000571457,0.000571457
4,863.945,1.31455,1.48003,1.32293,0.63676,0.48799,0.57596,0.31305,1.7284,1.52911,1.49133,0.000501942,0.000501942,0.000501942
5,1083.97,1.27743,1.39041,1.29691,0.679,0.51323,0.61712,0.32907,1.7251,1.4659,1.48813,0.000431256,0.000431256,0.000431256
6,1295.44,1.23388,1.30476,1.26642,0.66739,0.5124,0.62254,0.30928,1.76898,1.48366,1.50328,0.00036057,0.00036057,0.00036057
7,1508.17,1.19982,1.23306,1.24346,0.73446,0.55657,0.67753,0.36873,1.6561,1.27905,1.42643,0.000289884,0.000289884,0.000289884
8,1719.03,1.16128,1.1805,1.22435,0.74598,0.56585,0.67707,0.37882,1.60483,1.26425,1.40015,0.000219198,0.000219198,0.000219198
9,1935.34,1.13538,1.12625,1.20509,0.75145,0.57165,0.68836,0.37737,1.65185,1.25912,1.40605,0.000148512,0.000148512,0.000148512
10,2148.99,1.11801,1.08125,1.19015,0.77688,0.57335,0.69904,0.3961,1.60191,1.22796,1.3701,7.7826e-05,7.7826e-05,7.7826e-05
